Letter,Title,Description
A,Alloro (lauro),L’alloro (lauro) è una pianta aromatica sempreverde che viene usata in cucina come ingrediente per aromatizzare. Ricco di oli ...
A,Alloro (lauro) secco,"Una delle essenze aromatiche più utilizzate in cucina è l’alloro (lauro) secco. Si tratta di una pianta che, in Italia, può essere ..."
A,Amaranto,"L’amaranto è uno pseudocereale con caratteristiche simili ai cereali ma appartenente a una famiglia botanica diversa, quella delle ..."
A,Amarene,"Le amarene sono una varietà di ciliegia proveniente dall’albero del ciliegio aspro (Prunus cerasus). Di colore rosso poco intenso, ..."
A,Amarene sciroppate,Le amarene sciroppate sono una deliziosa conserva che darà un tocco speciale a tantissimi vostri piatti – l’unico limite è la fantasia. ...
A,Amaretti,"Amaretti, proprietà principali
Gli amaretti sono dei pasticcini a base di pasta di mandorle, dalla forma simile a piccoli dischi. Hanno ..."
A,Amaro Ramazzotti,"L’Amaro Ramazzotti è uno dei bitter più famosi d’Italia, con un articolato percorso alle spalle un destino di successo. Si tratta, ..."
A,Amido di frumento,"Amido di frumento, caratteristiche principali
L’amido di frumento, conosciuto anche con il termine frumina, è una farina sottile che si ..."
A,Amido di mais (maizena),"L’amido di mais, conosciuto anche come maizena, è una polvere bianca finissima, quasi impalpabile, ricavata dal chicco del mais ..."
A,Amido di riso,L’amido di riso è un ingrediente estremamente versatile che viene impiegato in cucina soprattutto come addensante. Le sue proprietà ...
A,Ammoniaca per dolci,L’ammoniaca per dolci è un agente lievitante utilizzato in pasticceria da non confondere con il lievito chimico in polvere. Si tratta ...
A,Anacardi,Gli anacardi sono i semi di una pianta di origine brasiliana denominata Anacardium occidentale. Sono noti anche come noci di anacardio. ...
A,Ananas,"Ananas, proprietà principali
L’ananas è il frutto dell’omonima pianta appartenente alla famiglia delle Bromeliaceae. Originaria del ..."
A,Ananas sciroppato,"L’ananas sciroppato è un dolce gustoso e delizioso. Si tratta di fette o cubetti di ananas fresco e succulento, raccolto al giusto ..."
A,Anatra,"Anatra, proprietà principali
L’anatra, considerata un animale da cortile, può essere domestica o selvatica. Rientra nella categoria ..."
A,Anelli di calamari,"Gli anelli di calamari rappresentano un pesce molto gustoso e apprezzato. In quanto tale, contiene fosforo e tanti altri elementi che ..."
A,Aneto,"Aneto, proprietà principali
L’aneto è una pianta erbacea annuale dai piccoli fiori gialli – che crescono tra giugno e luglio – e dai ..."
A,Angelica,"Angelica, caratteristiche principali
L’angelica è una pianta aromatica ampiamente usata in cucina, soprattutto per la decorazione di ..."
A,Angostura,"Un amaro estremamente concentrato, un bitter che lascia un’impronta specifica e durevole sul palato: l’angostura è un ingrediente che ..."
A,Anguilla,"Anguilla, proprietà principali
L’anguilla è un pesce della famiglia delle Anguillidae, caratterizzato da un corpo a sezione rotonda, ..."
A,Anguria (cocomero),"Anguria (cocomero), proprietà principali
L’anguria, nota anche come cocomero o melone d’acqua, appartiene alla famiglia delle ..."
A,Anice,"L’anice deriva da una pianta il cui nome botanico è Pimpinella anisum. Fa parte della stessa famiglia del finocchio, del cumino e ..."
A,Animelle di vitello,"Animelle di vitello, proprietà principali
Denominata “lacetto” in Piemonte e conosciuta su tutto il territorio nazionale come timo, ..."
A,Anko,"Preparazione tipica della cucina giapponese, l’anko è una confettura di fagioli rossi del tipo azuki, coltivati quasi esclusivamente ..."
A,Aperitivo Jaffa,
A,Aperol,"Un colore peculiare, un sapore altrettanto unico: l’Aperol è un famosissimo aperitivo italiano, usato come base per diversi cocktail e ..."
A,Apricot Brandy,"Apricot Brandy, caratteristiche principali
L’Apricot Brandy è un distillato che si ottiene dalla macerazione della polpa dell’albicocca ..."
A,Arachidi,"Arachidi, proprietà principali
Le arachidi sono comunemente associate al gruppo della frutta secca insieme a noci, nocciole, mandorle, ..."
A,Arachidi salate,"Arachidi salate, caratteristiche principali
Le arachidi salate appartengono alla categoria di frutta secca più economica. Si consumano ..."
A,Arachidi tostate,Le arachidi tostate sono i semi commestibili di una pianta tipica del Brasile che fa parte della famiglia delle Leguminose. Gustose e ...
A,Aragosta,"Aragosta, proprietà principali
L’aragosta è il crostaceo più pregiato. Lunga fino a 50 cm, può raggiungere gli 8 kg di peso. ..."
A,Arance,"Arance, proprietà principali
Dolce e succosa, l’arancia è un frutto originario della Cina e del Giappone, in Europa importato ..."
A,Arancia candita,"Arancia candita, caratteristiche principali
L’arancia candita è un prodotto ottenuto dalla buccia del frutto attraverso un procedimento ..."
A,Aringhe,"Aringhe, proprietà principali
L’aringa è un pesce che si riproduce tutto l’anno e vive in banchi numerosi nell’Oceano Atlantico ..."
A,Aringhe affumicate,"Aringhe affumicate, proprietà principali
Le aringhe affumicate sono un modo molto comune di conservare le aringhe (nome scientifico ..."
A,Aringhe sott'olio,"Aringhe sott’olio, caratteristiche principali
Le aringhe sott’olio sono un prodotto commercializzato ottenuto dai filetti di aringa, ..."
A,Aringhe sotto sale,"Aringhe sotto sale, proprietà principali
Le aringhe sotto sale sono comodissime da conservare in cucina. Proprio questo metodo di ..."
A,Arista di maiale,"Arista di maiale, proprietà principali
L’arista di maiale è un taglio di carne molto del suino molto utilizzato in cucina. È una parte ..."
A,Armagnac,
A,Aroma al limone,"Aroma al limone, proprietà principali
L’aroma al limone è un ingrediente utilizzato per apportare il tipico odore e il sapore del ..."
A,Aroma all'arancio,"L’aroma all’arancio è un ingrediente per dolci e creme, spesso sotto forma liquida, che regala un profumo e un gusto che ricorda quello ..."
A,Aroma alla mandorla,"L’aroma alle mandorle è un aroma preparato con questa frutta secca e usato per aromatizzare i dolci, aggiungendolo durante la ..."
A,Aroma alla vaniglia,L’aroma di vaniglia è un aroma che viene estratto dalla vaniglia è presenta un odore dolce e intenso. Viene usato come ingrediente ...
A,Aroma alle mandorle amare,"L’aroma alle mandorle amare viene utilizzato per conferire sapore a diversi dolci, dal torrone ai famosi amaretti, ma anche a cocktail ..."
A,Arrosticini di pecora,"Gli arrosticini di pecora sono una ricetta tipica abruzzese, molto apprezzata in tutta Italia e anche al di fuori dei confini del ..."
A,Arrosto di maiale,"L‘arrosto di maiale è una delle preparazioni più apprezzate e consumate sulla tavola italiana e il motivo è che il suo sapore, ..."
A,Artemisia glacialis,"È una piccola pianta aromatica, utilizzata da secoli per la preparazione di un digestivo dal gusto unico, il Genepy: è l’Artemisia ..."
A,Arzilla (razza chiodata),"La razza chiodata, conosciuta anche con il nome di arzilla, che deriva dal dialetto romanesco ed è ormai un’espressione diffusa in ..."
A,Asiago,"Asiago DOP, proprietà principali
La produzione dell’Asiago risale all’anno 1000 e da allora avviene nell’altopiano da cui prende il ..."
A,Asparagi,"Asparagi, proprietà principali
Le origini di questi ortaggi non è del tutto certa ma si suppone che arrivino dalla Mesopotamia, anche ..."
A,Asparagina,"Con il termine asparagina facciamo riferimento ai germogli prodotti dall’asparago selvatico e che si raccolgono, solitamente in ..."
A,Assenzio,"Assenzio, caratteristiche principali
L’assenzio è un distillato che presenta un’elevata gradazione alcoolica, con una spiccata aroma di ..."
A,Astice,"Astice, proprietà principali
L’astice è il crostaceo più grande del Mar Mediterraneo: se in genere raggiunge i 30-40 cm di lunghezza e ..."
A,Avena,"Avena, proprietà principali
Che c’è l’avena? È un cereale dal fusto sottile, con varie ramificazioni, foglie allungate e piccole spighe ..."
A,Avocado,"L’avocado è un frutto carnoso e tropicale originario del Centro America con una caratteristica forma a pera, buccia rugosa di colore ..."
B,Babà al rum,Il babà al rum è uno dei dolci da forno a pasta lievita più famosi e apprezzati della tradizione gastronomica campana. Seppur le sue ...
B,Baccalà,"Baccalà, caratteristiche principali
Il baccalà non è altro che il merluzzo conservato sotto sale e, successivamente, sottoposto a ..."
B,Baccelli di vaniglia,"I baccelli di vaniglia sono un ingrediente indispensabile se vogliamo aromatizzare dolci, creme, bevande o gelati. Al loro interno, ..."
B,Bacche di alloro (lauro),"Le bacche di alloro (lauro) sono il frutto di una pianta virtuosa dalle proprietà aromatiche e digestive, impiegata anche per la ..."
B,Bacche di ginepro,Le bacche di ginepro tra le bacche commestibili più note e amate fin dall’antichità e trovano largo uso in cucina: per insaporire sughi ...
B,Bacche di goji,"Le bacche di goji sono dei frutti piccoli e rossi, denominati anche “bacche del benessere”. Ricche di antiossidanti e famose per le ..."
B,Bacche di sanbuco,Le bacche di sambuco sono il frutto di una pianta che nasce spontanea nei boschi. Questo arbusto è caratterizzato da fiorellini a ...
B,Bacon,"Il bacon è un salume che viene preparato partendo dalla carne di maiale. Spesso viene confuso con la nostrana pancetta, in realtà ..."
B,Baguette,"La baguette, anche nota come filoncino alla francese, è un tipo di pane più leggero e maneggevole della tradizionale pagnotta. ..."
B,Banane,"Gialle, zuccherine e con la caratteristica forma, le banane sono fra i frutti più apprezzati e consumati al mondo. Si possono mangiare ..."
B,Banane mignon,"Banane mignon, proprietà principali
Le banane mignon sono banane di piccole dimensioni, con una grandezza che si assesta tra gli 8 cm e ..."
B,Barbabietole,"Barbabietole, proprietà principali
Conosciuta già in Grecia ai tempi di Plinio il Vecchio, la barbabietola era inizialmente utilizzata ..."
B,Barbo,"Barbo, caratteristiche principali
Il barbo è un pesce d’acqua dolce che fa parte della famiglia delle Cyprinidae. Questa specie è ..."
B,Barchette di pasta brisée,"Le barchette di pasta brisée sono delle deliziose tartine ripiene, preparate con la pasta brisée e farcite in tanti modi diversi, ..."
B,Barchette di pasta sfoglia,"Barchette di pasta sfoglia, caratteristiche principali
Le barchette di pasta sfoglia sono dei piccoli scrigni che possono contenere una ..."
B,Barrette Mars,"Barrette Mars, caratteristiche principali
Le barrette Mars si presentano come uno scrigno di cioccolato e caramello dal gusto corposo. ..."
B,Base per pizza,"La base per pizza è una preparazione lievitata fatta di acqua, farina, lievito di birra, olio e sale. Un impasto versatile che a casa ..."
B,Basilico,"Basilico, proprietà principali
Con il prezzemolo, la salvia e il rosmarino, il basilico è probabilmente l‘erba aromatica più utilizzata ..."
B,Basilico secco,Per basilico secco si intende il prodotto derivante dall’essiccazione delle foglie del basilico fresco. La facilità di conservazione lo ...
B,Bassotti,"I Bassotti, chiamati anche Basotti o Bazòtt, sono una pasta tipica dell’alta Valle del Savio. Si tratta di un ingrediente base in una ..."
B,Bastoncini di liquirizia,I bastoncini di liquirizia sono un ingrediente dal gusto dolce e amaro al tempo stesso. Quella che tutti noi conosciamo come liquirizia ...
B,Batida de Coco,"Batida de coco, caratteristiche principali
La Batida de coco deve il suo nome al portoghese “Bater”, che significa letteralmente ..."
B,Batù d'oca,"Il batù d’oca è una specialità tutta italiana, in particolare piacentina. La cucina tradizionale di Piacenza è ben conosciuta anche ..."
B,Bavette,"Ingrediente tipico per chi vive in Liguria ma al contempo apprezzatissimo in tutta Italia, le bavette sono versatili e perfette per ..."
B,Bavettine,"Le Bavettine sono un tipico formato di pasta lunga a sezione piatta, a base di semola di grano duro e acqua, dalla forma allungata e ..."
B,Beccacce,"Beccacce, proprietà principali
Le beccacce sono uccelli migratori la cui carne ha un sapore estremamente delicato e caratteristico. In ..."
B,Bergamotto,
B,Besciamella,"Fra le salse più famose di sempre, la besciamella viene utilizzata come punto di partenza per tantissime altre preparazioni. In passato ..."
B,Bianchetti,"Bianchetti, proprietà principali
I bianchetti o gianchetti sono piccolissimi pesci trasparenti dall’aspetto gelatinoso, lunghi 3-10 mm ..."
B,Bicarbonato di sodio,"Il bicarbonato di sodio, noto anche come carbonato acido di sodio, (o, commercialmente, semplicemente bicarbonato) è un sale di acido ..."
B,Bietole,"La bietola ha larghe foglie verdi e il gambo bianco. I tipi più diffusi sono la bieta da taglio, della quale si utilizzano ..."
B,Bigné,"Bignè, proprietà principali
Il bignè è un pasticcino di forma tondeggiante, appartenente alla tradizione francese. La versione ..."
B,Bigoli,"I bigoli sono una pasta ruvida di origine veneta, che un tempo veniva preparata solo con grano tenero, acqua e sale. Il nome deriva dal ..."
B,Birra Stout,"La birra Stout è una birra scura originaria dell’Inghilterra, ma diffusa anche in Irlanda. Il termine stout deriva da una parola ..."
B,Birra analcolica,"La birra analcolica è una bevanda priva di alcol, e in quanto tale può essere consumata in sicurezza anche in situazioni nelle quali le ..."
B,Birra bionda,"La birra bionda è una bevanda alcolica largamente diffusa in tutto il mondo. Prende il nome dal suo caratteristico colore, che può ..."
B,Biscotti,"Biscotti, proprietà principali
I biscotti sono un preparato di cucina e di pasticceria diffuso in tutto il mondo, dal sapore quasi ..."
B,Biscotti Oreo,"I biscotti Oreo sono presto diventati tra i più famosi al mondo, amati da grandi e piccini per il loro ripieno di crema e per il ..."
B,Biscotti Pan di Stelle,"Difficile districarsi tra le decine di deliziosi biscotti che campeggiano sugli scaffali del supermercato, ma ce ne sono alcuni che ..."
B,Biscotti Pavesini,"Inconfondibili per la loro fragranza e per la loro dolcezza, i Biscotti Pavesini sono dei biscottini molto famosi in Italia, utilizzati ..."
B,Biscotti al cioccolato,"I biscotti al cioccolato sono preparazioni di diverse dimensioni e forme, che possono essere impiegati in cucina per qualsiasi ..."
B,Biscotti di avena,"Biscotti di avena, proprietà principali
I biscotti di avena sono dei frollini molto friabili e privi di frumenti preparati con farina ..."
B,Bistecche di maiale,"Bistecche di maiale, caratteristiche principali
Le bistecche di maiale rappresentano uno dei tagli principali del suino e derivano ..."
B,Bistecche di manzo,"Le bistecche di manzo sono le vere protagoniste della cucina italiana, nonché delle grigliate condivise a base di carne. Si tratta di ..."
B,Bistecche di vitello,"Bistecche di vitello, proprietà principali
Le bistecche di vitello sono un taglio di carne che può provenire da diverse parti ..."
B,Bocconcini di mozzarella,"Perfetti da gustare da soli, ideali se accompagnati da verdure, formaggi o salumi e deliziosi se fusi con altri ingredienti, i ..."
B,Bocconcini di mozzarella di bufala,"I bocconcini di mozzarella di bufala sono un prodotto caseario tipico del sud Italia, il cui consumo è tuttavia diffuso notevolmente in ..."
B,Boghe,"Tra i pesci meno utilizzati in cucina, ma non per questo privi di sapori e proprietà virtuose, troviamo le boghe. Ingredienti che, se ..."
B,Bombolotti,"Bombolotti, proprietà principali
I bombolotti sono un formato di pasta corta e rigata simile, appunto, ai rigatoni, di forma cilindrica ..."
B,Borragine,"La borragine, nome scientifico Borrago officinalis, è una erba selvatica commestibile della famiglia delle Boraginacee. Il suo nome ..."
B,Bottarga di muggine,"Bottarga di muggine, proprietà principali
La bottarga di muggine è un ingrediente ricavato dalla sacca ovarica delle femmine di cefalo ..."
B,Bottarga di tonno,"Bottarga di tonno, proprietà principali
La bottarga di tonno è una preparazione alimentare costituita da uova di pesce salate, pressate ..."
B,Bourbon whisky,"Il bourbon è un whisky di origine americana, prodotto mediante la distillazione di un mix di mais, segale e cereali vari. Il mais ..."
B,Braciole di maiale,"Amate dai grandi, adorate dai più piccoli, le braciole di maiale rappresentano in assoluto il taglio di carne suina più consumato in ..."
B,Brandy,"Il brandy fa parte della famiglia dei distillati ed è un derivato del vino. La produzione è mondiale, ma la sua patria è la Francia, ..."
B,Branzino (spigola),"Branzino (spigola), proprietà principali
Il branzino è un pesce di mare dal corpo allungato di colore bianco e argenteo sul ventre, ..."
B,Bratwurst,"Il bratwurst è un particolare tipo di salsiccia di origine tedesca, molto speziata e saporita. Generalmente viene cotta alla griglia o ..."
B,Bresaola,"Bresaola, proprietà principali
La bresaola è la regina incontrastata dei salumi: a differenza di altri salumi ed affettati come salame, ..."
B,Bresaola equina,"Considerata una dei salumi più salutari in assoluto, la bresaola è un prodotto tipico della Valtellina e di altre regioni italiane ..."
B,Brie,"Il formaggio Brie è un formaggio semigrasso vaccino e a pasta molle, caratterizzato da una crosta bianca. Si tratta di un prodotto ..."
B,Brioche,La brioche (o brioscia) è un dolce lievitato di origine francese che viene cotto al forno e si può farcire a seconda dei gusti con ...
B,Broccoli,"I broccoli, chiamati a volte cavoli broccoli, sono una varietà di Brassica oleracea, una verdura verde della famiglia delle crucifere ..."
B,Broccolo romanesco,"Il broccolo romanesco è un ortaggio appartenente alla famiglia delle verdure crucifere. È tipico del Lazio, ma viene prodotto anche in ..."
B,Brodo dashi,"Il brodo dashi è un brodo di pesce, limpido e molto leggero, che fa parte della cucina giapponese. Viene preparato con tre ingredienti ..."
B,Brodo di cappone,"Brodo di cappone, proprietà principali
Il brodo di cappone è una preparazione culinaria tipica della tradizione gastronomica ..."
B,Brodo di carne,"Brodo di carne, caratteristiche principali
Dolce, profumato e salvavita vero in cucina. Il brodo di carne è un alimento unico ed è ..."
B,Brodo di gallina,Il brodo di gallina è una preparazione tipica dell’inverno e l’ingrediente base di numerose ricette della tradizione. Si tratta di un ...
B,Brodo di pollo,"Il brodo di pollo è un ingrediente della cucina popolare, preparato facendo bollire per diverso tempo un pollo nell’acqua. A seconda ..."
B,Brodo vegetale,"In Italia, in moltissime ricette tradizionali della cucina tipica del nostro Paese, viene usato il brodo vegetale sia per la cottura ..."
B,Brovada,"Brovada, caratteristiche principali
La brovada è un piatto tipico della cucina friulana, utilizzato principalmente per accompagnare ..."
B,Bruschette,Le bruschette sono degli alimenti dalle origini antichissime e contadine che venivano utilizzate in passato per la conservazione del ...
B,Bucatini,"I bucatini sono un formato di pasta tipico dell’Italia Centrale, in particolare nell’area intorno a Roma. Nati diversi secoli fa, sono ..."
B,Bufalo,"Poco conosciuta e poco utilizzata nella preparazione dei piatti legati alla tradizione, la carne di bufalo si sta diffondendo sempre di ..."
B,Bulgur,Deriva dal grano duro germogliato: il bulgur (o bulghur) è molto utilizzato nella cucina meridionale e si ottiene dai chicchi di ...
B,Burger buns (panini per hamburger),"I burger buns, o panini per hamburger, sono delle pagnotte soffici ricoperte di semi di sesamo, ovvero l’ingrediente principale dei più ..."
B,Burger di seitan,"Burger di seitan, caratteristiche principali
Il burger di seitan si presenta come un burger tradizionale di carne, sia per la forma sia ..."
B,Burrata,"La burrata è un formaggio fresco a pasta filata che viene prodotto in Puglia, nell’area delle Murge, soprattutto ad Andria. Ricorda la ..."
B,Burro,"Burro, proprietà principali
Il burro viene prodotto dalla centrifugazione della crema di latte vaccino, successivamente pastorizzata, ..."
B,Burro alle erbe,"Il burro alle erbe è un ingrediente ricco e saporito che può essere realizzato in casa attraverso la lavorazione del burro, materia ..."
B,Burro chiarificato (ghee),"Burro chiarificato ghee, caratteristiche principali
Il burro chiarificato ghee fa parte della tradizione ayurvedica ma il suo utilizzo ..."
B,Burro d'arachidi,Il burro d’arachidi è crema a base di arachidi tostate e macinate. Si tratta di un alimento tipico della tradizione culinaria americana ...
B,Burro di cacao,"Utilizzato sia in cucina che in pasticceria, il burro di cacao è un ingrediente molto apprezzato per la sua versatilità. Conosciuto ..."
B,Burro di cocco,"Il burro di cocco è un ingrediente prezioso, apprezzato per via delle sue numerose proprietà. Dal sapore peculiare, questo burro ..."
B,Burro di scampi,Il burro di scampi è una preparazione aromatizzata che prevede l’aggiunta dei crostacei al tradizionale burro ricavato dal latte di ...
B,Burro salato,"Sebbene il suo utilizzo sia tipico dei Paesi del Nord Europa, il burro salato è reperibile facilmente anche in Italia e viene inserito ..."
B,Busiate,Tra le regioni d’Italia in cui si possono trovare i più variegati formati di pasta fresca c’è sicuramente la Sicilia. Tipiche della ...
C,Cacao amaro in polvere,"Cacao amaro in polvere, proprietà principali
Il cacao amaro in polvere deriva della macinazione delle fave precedentemente essiccate, ..."
C,Cacao dolce in polvere,"Il cacao per Maya e Aztechi era considerato il cibo più prelibato e preferito dagli dei, tanto da offrirlo in dono alle divinità. Gli ..."
C,Cachaça,"La Cachaça è un liquore distillato molto conosciuto praticamente in tutto il mondo, si tratta di un’acquavite molto popolare in ..."
C,Cachi,"Cachi, proprietà principali
Il cachi, chiamato anche kaki, diospiro o loto, è il frutto di un albero originario dellaCina e del ..."
C,Caciocavallo,"Caciocavallo, proprietà principali
Il caciocavallo è un formaggio a pasta filata dalla tipica forma a sacchetto, prodotto con latte di ..."
C,Cacioricotta pugliese,"Cacioricotta pugliese, proprietà principali
Il cacioricotta è formaggio tipico del Sud Italia, in particolare di Puglia, Calabria ..."
C,Caciotta,"La caciotta è un formaggio italiano molto apprezzato in tutta la Penisola. Ne esistono diverse varianti, legate generalmente al ..."
C,Caffè,"Caffè, proprietà principali
Intorno all’origine del caffè circolano così tante leggende che è impossibile determinare il momento in cui ..."
C,Caffè solubile,"Chiamato anche caffè istantaneo, il caffè solubile è fra le varianti più diffuse di questa famosa bevanda. Viene consumato soprattutto ..."
C,Cajun,"Il Cajun è una miscela di spezie dal sapore piccante e leggermente dolciastro, tipica degli stati meridionali del Nord America. Nasce ..."
C,Calamarata,"La calamarata è un tipo di pasta dalla forma particolare, molto diffusa in Campania, dove viene cucinata soprattutto in occasione delle ..."
